# english|simplified|source
merge conflict|合并冲突|GH
merge queue|合并队列|GH
merge sort|归并排序|DSA
message|消息|CNCF
metaclass|元类|PY
metadata|元数据|CORE
method|方法|PY
method resolution order|方法解析顺序|PY
metrics collection|指标采集|DEVOPS
microcontroller|微控制器|HW
microprocessor|微处理器|HW
microservice architecture|微服务架构|CNCF
middleware|中间件|MDN
migration|迁移|CNCF
milestone|里程碑|GH
mime|MIME|MDN
mime type|MIME 类型|MDN
minification|压缩精简|MDN
minimum cut|最小割|DSA
minimum spanning tree|最小生成树|DSA
mmu|内存管理单元|HW
mobile first|移动优先|MDN
model|模型|NIST-AI
model card|模型卡|NIST-AI
model drift|模型漂移|NIST-AI
model evaluation|模型评估|NIST-AI
model governance|模型治理|NIST-AI
model monitoring|模型监控|NIST-AI
model training|模型训练|NIST-AI
module|模块|PY
monotonic queue|单调队列|DSA
monotonic stack|单调栈|DSA
multi cloud|多云|CNCF
multi factor authentication|多因素身份验证|MDN
multicast|组播|IETF
mutation|变更|CORE
mutual exclusion|互斥|CORE
namespace|命名空间|PY
namespace isolation|命名空间隔离|K8S
namespace package|命名空间包|PY
nat|网络地址转换|IETF
natural language processing|自然语言处理|NIST-AI
neighbor|邻居节点|DSA
network address translation|网络地址转换|MDN
network layer|网络层|IETF
network policy|网络策略|K8S
network protocol|网络协议|IETF
network segmentation|网络分段|NIST
network throttling|网络限速|MDN
neural network|神经网络|NIST-AI
node|节点|K8S
node affinity|节点亲和性|K8S
non volatile memory|非易失性存储器|HW
normal form|范式|DATA
normalization|规范化|CORE
normalization form|规范化形式|DATA
object|对象|PY
object oriented programming|面向对象编程|CORE
object reference|对象引用|MDN
object relational mapping|对象关系映射|DATA
observability|可观测性|CNCF
observability stack|可观测性栈|CNCF
offline algorithm|离线算法|DSA
online algorithm|在线算法|DSA
online analytical processing|联机分析处理|DATA
online transaction processing|联机事务处理|DATA
open addressing|开放寻址|DSA
operating frequency|工作频率|HW
operator|运算符|PY
optimistic locking|乐观锁|DATA
optimization|优化|CORE
orchestration|编排|CNCF
organization|组织|GH
origin|源|MDN
output|输出|CORE
overflow|溢出|CORE
overhead|开销|CORE
package|包|PY
packet|数据包|IETF
packet loss|丢包|IETF
page|页|OS
page fault|缺页异常|OS
page load time|页面加载时间|MDN
page replacement|页面置换|OS
parallel computing|并行计算|CORE
parallelism|并行|CORE
parameter|形参|PY
parser|解析器|CORE
partition|分区|CORE
patch|补丁|GH
path|路径|DSA
payload|载荷|NIST
penetration testing|渗透测试|NIST
percent encoding|百分号编码|MDN
performance test|性能测试|CORE
peripheral|外设|HW
persistence|持久化|CORE
persistent volume|持久卷|K8S
persistent volume claim|持久卷申领|K8S
personal data|个人数据|NIST
personally identifiable information|个人可识别信息|NIST
pessimistic locking|悲观锁|DATA
pickle|Pickle 序列化|PY
pipeline|流水线|CNCF
plugin|插件|CORE
pod|Pod|K8S
pod affinity|Pod 亲和性|K8S
pod anti affinity|Pod 反亲和性|K8S
pod disruption budget|Pod 中断预算|K8S
pointer|指针|CORE
policy|策略|NIST
polyfill|垫片|MDN
polymorphism|多态|CORE
port|端口|IETF
port forwarding|端口转发|IETF
positional argument|位置参数|PY
power management|电源管理|HW
precedence|优先级|CORE
precision|精度|CORE
precondition|前置条件|CORE
prefix sum|前缀和|DSA
prefix tree|前缀树|DSA
preflight request|预检请求|MDN
primary key|主键|DATA
primitive|基本类型|CORE
principle of least privilege|最小权限原则|MDN
priority|优先级|DSA
priority queue|优先队列|DSA
privacy|隐私|NIST
probability|概率|CORE
process|进程|CORE
process isolation|进程隔离|OS
process scheduling|进程调度|OS
process state|进程状态|OS
producer consumer|生产者消费者|CORE
profile|配置文件|CORE
progressive enhancement|渐进增强|MDN
progressive web application|渐进式 Web 应用|MDN
promise|Promise|MDN
prompt|提示词|NIST-AI
prompt engineering|提示词工程|NIST-AI
property based testing|基于性质的测试|CORE
protected branch|受保护分支|GH
protocol|协议|IETF
protocol class|协议类|PY
provisioning|制备|DEVOPS
proxy|代理|MDN
pruning strategy|剪枝策略|DSA
pseudoclass|伪类|MDN
pseudoelement|伪元素|MDN
public key cryptography|公钥密码学|MDN
public key infrastructure|公钥基础设施|NIST
pull request|拉取请求|GH
pull request review|拉取请求审查|GH
pwa|渐进式 Web 应用|MDN
query|查询|DATA
query optimizer|查询优化器|DATA
queue|队列|CORE
quic|QUIC|MDN
quick sort|快速排序|DSA
race condition|竞态条件|CORE
radix sort|基数排序|DSA
randomized algorithm|随机化算法|DSA
rate limiting|速率限制|CNCF
read committed|读已提交|DATA
read replica|只读副本|DATA
reader writer lock|读写锁|CORE
readiness probe|就绪探针|K8S
real time operating system|实时操作系统|HW
real user monitoring|真实用户监控|MDN
record|记录|CORE
recursion|递归|CORE
red black tree|红黑树|DSA
reduced instruction set computer|精简指令集计算机|HW
redundancy|冗余|CORE
refactoring|重构|CORE
reference|引用|PY
reference counting|引用计数|CORE
reference cycle|引用环|PY
reflow|回流|MDN
register|寄存器|HW
registry|注册表|CORE
regression test|回归测试|CORE
regular expression|正则表达式|MDN
reinforcement learning|强化学习|NIST-AI
relation|关系|DATA
relational database|关系数据库|DATA
release|发布|GH
release automation|发布自动化|DEVOPS
release branch|发布分支|GH
release candidate|发布候选版本|DEVOPS
release management|发布管理|DEVOPS
remote|远程仓库|GH
render blocking|渲染阻塞|MDN
repaint|重绘|MDN
repeatable read|可重复读|DATA
replay attack|重放攻击|NIST
replica set|副本集|K8S
replicaset|副本集|K8S
replication|复制|CORE
repository|仓库|GH
repository visibility|仓库可见性|GH
representation|表示|CORE
request|请求|MDN
resilience|韧性|CNCF
resolution|解析度|CORE
resource|资源|K8S
resource leak|资源泄漏|CORE
resource limit|资源限制|K8S
resource management|资源管理|CORE
resource request|资源请求|K8S
response|响应|MDN
responsible AI|负责任人工智能|NIST-AI
responsive web design|响应式网页设计|MDN
rest|REST|MDN
retrieval augmented generation|检索增强生成|NIST-AI
retry|重试|CORE
reverse proxy|反向代理|IETF
review|审查|GH
risk|风险|NIST
risk assessment|风险评估|NIST
risk management|风险管理|NIST
robustness|鲁棒性|NIST-AI
role based access control|基于角色的访问控制|NIST
rollback|回滚|CORE
rollback strategy|回滚策略|DEVOPS
rolling deployment|滚动部署|CNCF
rolling update|滚动更新|K8S
root|根节点|DSA
round trip time|往返时间|MDN
router|路由器|MDN
routing|路由|IETF
routing table|路由表|IETF
row|行|DATA
runtime|运行时|PY
runtime class|运行时类|K8S
same origin policy|同源策略|MDN
sandbox|沙箱|MDN
scalability|可伸缩性|CNCF
scheduler|调度器|CORE
schema|模式|CORE
schema evolution|模式演进|DATA
scope|作用域|PY
script|脚本|CORE
search space|搜索空间|DSA
secret|Secret|K8S
secret management|机密管理|DEVOPS
secret scanning|机密扫描|GH
secure boot|安全启动|HW
secure shell|安全外壳协议|IETF
security control|安全控制|NIST
security incident|安全事件|NIST
security policy|安全策略|NIST
security posture|安全态势|NIST
security token|安全令牌|NIST
segment tree|线段树|DSA
selection sort|选择排序|DSA
selector|选择器|MDN
self supervised learning|自监督学习|NIST-AI
semantics|语义|CORE
semaphore|信号量|OS
sensor|传感器|HW
sentinel|哨兵值|PY
separate chaining|拉链法|DSA
sequence|序列|CORE
serializable isolation|可串行化隔离|DATA
serialization|序列化|CORE
serializer|序列化器|CORE
server|服务器|MDN
server side rendering|服务器端渲染|MDN
service|服务|K8S
service account|服务账户|K8S
service discovery|服务发现|CNCF
service mesh|服务网格|K8S
serviceworker|Service Worker|MDN
session|会话|MDN
session layer|会话层|IETF
set|集合|DSA
set comprehension|集合推导式|PY
sharding|分片|CORE
shared memory|共享内存|OS
shell|命令行外壳|OS
short circuit evaluation|短路求值|CORE
shortest path|最短路径|DSA
side-effect|副作用|CORE
sidecar|边车|CNCF
signal|信号|CORE
signature|签名|CORE
single page application|单页应用|MDN
singly linked list|单向链表|DSA
site reliability engineering|站点可靠性工程|CNCF
slice|切片|PY
sliding window|滑动窗口|DSA
slow query|慢查询|DATA
smoke test|冒烟测试|CORE
smtp|简单邮件传输协议|IETF
snapshot|快照|CNCF
soc|片上系统|HW
socket|套接字|IETF
socket address|套接字地址|IETF
software architecture|软件架构|CORE
software bill of materials|软件物料清单|GH
software configuration management|软件配置管理|DEVOPS
software design|软件设计|CORE
software supply chain|软件供应链|NIST
sorting|排序|CORE
source|源代码|GH
source code repository|源代码仓库|DEVOPS
source control|源代码管理|GH
source map|源映射|MDN
space complexity|空间复杂度|CORE
sparse matrix|稀疏矩阵|DSA
specification|规范|CORE
ssh|安全外壳协议|IETF
stable sort|稳定排序|DSA
stack|栈|CORE
stack overflow|栈溢出|CORE
staging|暂存|GH
startup probe|启动探针|K8S
state|状态|CORE
state transition|状态转移|DSA
statefulset|有状态副本集|K8S
statement|语句|PY
storage|存储|K8S
storage class|存储类|K8S
stream|流|CORE
stream processing|流处理|DATA
stress test|压力测试|CORE
string|字符串|PY
strongly connected component|强连通分量|DSA
structural pattern matching|结构化模式匹配|PY
structure|结构|CORE
structured clone|结构化克隆|MDN
stylesheet|样式表|MDN
subgraph|子图|DSA
subnet|子网|IETF
subnet mask|子网掩码|IETF
subroutine|子程序|CORE
substitution|替换|CORE
subtree|子树|DSA
supervised learning|监督学习|NIST-AI
supply chain attack|供应链攻击|NIST
svg|SVG|MDN
symmetric encryption|对称加密|NIST
synchronization|同步|CORE
syntax|语法|PY
system call|系统调用|OS
system on chip|片上系统|HW
system test|系统测试|CORE
table|表|DATA
tag|标签|GH
taint|污点|K8S
taint and toleration|污点和容忍|K8S
task|任务|PY
tcp|传输控制协议|IETF
technical debt|技术债务|CORE
telemetry|遥测|CNCF
template|模板|CORE
test coverage|测试覆盖率|CORE
thread|线程|PY
thread pool|线程池|OS
threat|威胁|NIST
